V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14
1;13;11;22;23;6;3;10;4;20;20;16;8;25
1;25;11;16;14;20;11;25;15;22;18;22;11;21
1;18;8;9;21;24;6;14;16;6;2;17;23;18
1;9;15;22;12;19;10;9;3;4;12;9;1;15
1;17;3;4;7;4;11;6;24;10;11;7;24;16
1;25;24;7;10;8;6;22;24;10;6;23;15;6
1;8;6;6;18;17;6;4;17;1;24;1;7;17
1;2;1;10;10;10;21;15;10;22;8;3;1;12
1;15;17;9;4;16;2;7;12;10;17;15;21;19
1;14;9;6;16;12;11;11;21;21;2;4;15;6
1;14;13;24;4;7;18;16;6;21;4;23;5;12
1;13;21;13;25;14;19;4;4;25;4;15;21;17
1;9;14;4;4;1;23;3;4;6;6;12;8;2
1;16;12;11;25;5;18;3;21;6;15;1;24;3
1;21;18;7;5;13;22;16;20;10;3;16;8;13
1;1;11;10;20;1;22;20;25;15;19;19;19;24
1;2;4;2;16;18;17;17;11;11;9;23;11;21
1;16;22;14;16;7;19;3;17;13;17;11;8;20
1;7;11;16;8;2;12;18;19;23;2;15;15;19
1;10;18;8;13;4;17;21;12;9;18;15;19;4
1;19;19;18;8;23;1;20;14;2;17;6;1;24
1;23;3;12;19;9;20;5;10;13;22;22;17;17
1;11;22;12;23;22;16;10;11;22;22;21;11;8
1;4;20;3;18;1;5;4;24;21;13;17;11;24
1;16;6;17;3;11;13;16;1;11;17;19;23;8
1;8;12;22;19;18;23;10;14;17;22;24;19;16
1;15;3;1;7;10;17;19;12;10;11;22;13;15
1;14;14;11;16;24;11;22;24;14;17;23;17;6
1;4;5;16;13;14;12;20;1;6;3;14;5;2
1;6;16;1;25;9;9;1;2;14;19;5;5;9
1;8;7;22;19;20;24;11;5;4;12;9;15;11
1;18;21;2;25;8;8;1;12;24;17;8;2;18
1;24;23;19;21;16;20;9;8;5;21;9;17;20
1;2;7;4;2;16;20;23;1;21;21;18;15;3
1;12;19;24;6;20;4;25;1;23;9;2;15;16
1;8;22;7;9;7;19;8;3;20;25;17;13;23
